SK_ID_CURR,CNT_CHILDREN,AMT_INCOME_TOTAL,Age,YEARS_EMPLOYED,AMT_CREDIT,CODE_GENDER,CNT_FAM_MEMBERS,NAME_CONTRACT_TYPE,OCCUPATION_TYPE,ORGANIZATION_TYPE,NAME_INCOME_TYPE,CREDIT_INCOME_PERCENT,ANNUITY_INCOME_PERCENT
116776,0,171000.0,33.0,13.0,265851.0,F,2.0,Cash loans,Tertiaire,Medicine,Working,1.554684210526316,0.1253947368421052
114289,0,112500.0,28.0,6.0,437076.0,F,2.0,Cash loans,Primaire,Serivce,Commercial associate,3.88512,0.25496
158771,0,180000.0,36.0,1.0,675000.0,M,2.0,Cash loans,Secondaire,Transport,Commercial associate,3.75,0.1804
148103,0,292500.0,25.0,5.0,1288350.0,F,1.0,Cash loans,Tertiaire,Business,Commercial associate,4.404615384615385,0.1292307692307692
279190,1,135000.0,45.0,2.0,609183.0,F,2.0,Cash loans,Primaire,Other,Working,4.512466666666667,0.1465333333333333
141794,0,202500.0,55.0,5.0,983299.5,F,2.0,Cash loans,Primaire,Serivce,State servant,4.8558,0.2063777777777777
157730,2,135000.0,41.0,4.0,640080.0,F,4.0,Cash loans,Primaire,Education,Working,4.741333333333333,0.2315666666666666
262388,0,207000.0,50.0,2.0,942300.0,F,2.0,Cash loans,Primaire,Self-employed,Working,4.552173913043478,0.1474782608695652
181268,1,58500.0,26.0,5.0,157500.0,F,2.0,Revolving loans,Primaire,Self-employed,Working,2.6923076923076925,0.1346153846153846
157512,0,121500.0,66.0,40.0,212656.5,F,1.0,Cash loans,Primaire,Education,State servant,1.7502592592592592,0.1228888888888889
126530,0,225000.0,49.0,4.0,785398.5,F,2.0,Cash loans,Primaire,Serivce,Commercial associate,3.49066,0.14846
177602,0,360000.0,51.0,17.0,790830.0,F,2.0,Cash loans,Tertiaire,Self-employed,Working,2.19675,0.173925
206931,1,247500.0,41.0,2.0,473760.0,M,3.0,Cash loans,Primaire,Serivce,Working,1.9141818181818184,0.2164909090909091
129460,0,270000.0,44.0,4.0,533668.5,M,2.0,Cash loans,Secondaire,Business,Working,1.97655,0.0842166666666666
279723,0,225000.0,30.0,7.0,481855.5,M,2.0,Cash loans,Tertiaire,Business,Working,2.14158,0.25474
136970,0,252000.0,61.0,1.0,500211.0,F,2.0,Cash loans,Tertiaire,Other,Working,1.9849642857142853,0.1825714285714285
216481,0,270000.0,39.0,9.0,755190.0,M,2.0,Cash loans,Primaire,Education,Commercial associate,2.797,0.1189833333333333
275439,2,99000.0,35.0,11.0,540000.0,F,4.0,Cash loans,Tertiaire,Business,Working,5.454545454545454,0.2126818181818182
103600,0,144000.0,50.0,29.0,810000.0,F,2.0,Cash loans,Tertiaire,Serivce,State servant,5.625,0.165375
217476,3,90000.0,32.0,12.0,1223010.0,F,5.0,Cash loans,Tertiaire,Self-employed,Working,13.589,0.54035
223251,0,360000.0,46.0,12.0,1198233.0,M,2.0,Cash loans,Tertiaire,Trade,Working,3.328425,0.141025
256605,0,180000.0,40.0,3.0,545040.0,M,2.0,Cash loans,Primaire,Business,Working,3.028,0.148
291330,0,166500.0,36.0,9.0,922500.0,F,2.0,Cash loans,Tertiaire,Transport,Working,5.54054054054054,0.1795135135135135
115552,0,112500.0,27.0,2.0,301464.0,F,2.0,Cash loans,Primaire,Business,Working,2.67968,0.21288
196543,0,157500.0,37.0,2.0,107820.0,M,2.0,Cash loans,Primaire,Industry,Working,0.6845714285714286,0.0358285714285714
138851,2,157500.0,37.0,8.0,1035832.5,F,3.0,Cash loans,Primaire,Self-employed,Commercial associate,6.576714285714286,0.1931142857142857
207542,0,225000.0,43.0,7.0,225000.0,M,2.0,Cash loans,Secondaire,Business,Working,1.0,0.05482
